nombre_jugador;tm_id;club_origen;club_destino;ss_id;ss_season_id;ss_tournament_id
Mathías Silvera;746701;Club Oriental;Asociación Deportiva Tarma;1020990;48078;406
Yimy Gamero;832217;FBC Melgar;Asociación Deportiva Tarma;1086281;48078;406
Beto da Silva;279057;FBC Melgar;Asociación Deportiva Tarma;974136;48078;406
Aldair Rodríguez;249975;Club Alianza Lima;Club Cienciano;339843;48078;406
Leonardo Mifflin;491569;FBC Melgar;Club Cienciano;936165;48078;406
Gonzalo Ritacco;644109;Deportivo Táchira;Club Cienciano;976096;48742;231
Marcelo Benítez;96432;CA Central Córdoba (SdE);Club Cienciano;583660;47647;155
Leonardo Rugel;738469;Deportivo Municipal;Club Cienciano;1020855;48078;406
Ítalo Espinoza;420866;Club Alianza Lima;Club Cienciano;883746;48078;406
Josué Estrada;260324;Cusco FC;Club Cienciano;339163;48078;406
Alexander Lecaros;400254;Carlos A. Mannucci;Club Cienciano;846749;48078;406
Abdiel Ayarza;653673;CA Independiente;Club Cienciano;976302;48078;406
Germán Mera;73704;Deportivo Cali;Club Cienciano;180045;48283;11539
Germán Mera;73704;Deportivo Cali;Club Cienciano;180045;52847;11536
Gilmar Paredes;903834;Club Sporting Cristal;Club Cienciano;1128886;48078;406
Orlando Núñez;741727;Universidad César Vallejo;Club Cienciano;1018255;48078;406
Enmanuel Páucar;330690;Deportivo Garcilaso;Comerciantes Unidos;805068;48078;406
José Parodi;639458;Deportivo Garcilaso;Comerciantes Unidos;922870;48078;406
Paulo Goyoneche;250929;CD Unión Comercio;Comerciantes Unidos;883298;48078;406
Cristian González;443575;CA Patronato;Comerciantes Unidos;885583;48079;703
Jorge Toledo;489993;Deportivo Municipal;Comerciantes Unidos;875661;48078;406
Duban Palacio;643928;Bogotá FC;Comerciantes Unidos;832687;40320;11539
Duban Palacio;643928;Bogotá FC;Comerciantes Unidos;832687;42387;11536
Dylan Caro;621028;Sport Boys Association;Comerciantes Unidos;980889;48078;406
Edgar Lastre;829971;CS Emelec;Comerciantes Unidos;1018573;48720;240
Óscar Pinto;662709;Club Alianza Lima;Comerciantes Unidos;988298;48078;406
Alan Murialdo;645628;CA Racing (Córdoba);CD Los Chankas;928434;48079;703
Cristian Mejía;375353;Universidad Técnica de Cajamarca;CD Los Chankas;1131302;48078;406
Kevin Becerra;704884;Guayaquil City FC;CD Los Chankas;931653;48720;240
Marlon Ruidías;738710;Carlos A. Mannucci;CD Los Chankas;1016982;48078;406
Iván Santillán;103817;Club Cienciano;CD Los Chankas;311524;48078;406
José Luján;441758;Universitario de Deportes;CD Los Chankas;879621;48078;406
Daniel Ferreyra;103107;Cusco FC;CD Los Chankas;162429;48078;406
José Manzaneda;279387;Alianza Atlético Sullana;CD Los Chankas;339475;48078;406
Geisson Perea;460621;Deportivo Pereira;Universidad César Vallejo;1018134;48283;11539
Geisson Perea;460621;Deportivo Pereira;Universidad César Vallejo;1018134;52847;11536
Pierre da Silva;315761;Forward Madison FC;Universidad César Vallejo;818401;48265;13362
Nilson Loyola;333025;Club Sporting Cristal;Universidad César Vallejo;805261;48078;406
Josepmir Ballón;72969;Club Alianza Lima;Universidad César Vallejo;34016;48078;406
José Carvallo;71092;Universitario de Deportes;Universidad César Vallejo;46984;48078;406
Gerson Barreto;335217;Cusco FC;Universidad César Vallejo;883397;48078;406
Óscar Barreto;326200;CD Unión Comercio;Universidad César Vallejo;840530;48078;406
Johan Madrid;400051;Club Sporting Cristal;Universidad César Vallejo;883287;40118;406
Alec Deneumostier;621029;FBC Melgar;Universidad César Vallejo;923740;48078;406
Manuel Ganoza;638929;Sin equipo;Universidad César Vallejo;957940;48078;406
Rafael Guarderas;250737;Academia Deportiva Cantolao;Club Atlético Grau;805065;48078;406
Fabio Rojas;501586;Club Alianza Lima;Club Atlético Grau;877910;48078;406
Anthony Rosell;356381;Deportivo Binacional;Club Atlético Grau;873703;48078;406
Rodrigo Tapia;422398;CA Mitre;Club Atlético Grau;830660;48079;703
Diego Soto;662605;Club Sporting Cristal;Club Atlético Grau;980141;48078;406
Leonel Solís;434955;Club Cienciano;Club Atlético Grau;883293;48078;406
Freddy Oncoy;491560;FBC Melgar;Club Atlético Grau;975540;48078;406
Mauro Da Luz;458603;AD Nueve de Octubre;Club Atlético Grau;924736;48078;406
Piero Vivanco;628328;Club Alianza Lima;Club Atlético Grau;932088;48078;406
Joao Villamarín;250482;Carlos A. Mannucci;Sport Boys Association;805353;48078;406
Brandon Palacios;641820;Deportivo Binacional;Sport Boys Association;933730;48078;406
Maximiliano Amondarain;246548;Carlos A. Mannucci;Sport Boys Association;333585;48078;406
Francisco Grahl;494220;CA San Martín (San Juan);Sport Boys Association;885006;48079;703
Pablo Bueno;87508;Alianza FC;Sport Boys Association;991202;48283;11539
Pablo Bueno;87508;Alianza FC;Sport Boys Association;991202;52847;11536
Carlos Correa;358338;Carlos A. Mannucci;Sport Boys Association;925309;48078;406
Steven Rivadeneyra;325709;Deportivo Municipal;Sport Boys Association;883309;48078;406
Édinson Chávez;250004;Club Alianza Lima;Sport Boys Association;312270;48078;406
Cristian Carbajal;656061;Club Sporting Cristal;Sport Boys Association;977086;48078;406
Facundo Mansilla;833783;CA Newell's Old Boys;Sport Boys Association;1087335;47647;155
Cristian Techera;147105;Sin equipo;Sport Boys Association;339117;48634;278
Matías Pérez García;67439;Deportivo Municipal;Sport Huancayo;974451;48078;406
Diego Minaya;94741;Deportivo Binacional;Sport Huancayo;169925;48078;406
Lucas Cano;216036;CA Güemes;Sport Huancayo;246313;48079;703
Otavio Gut;894212;Figueirense Futebol Clube;Sport Huancayo;1131133;47687;376
Otavio Gut;894212;Figueirense Futebol Clube;Sport Huancayo;1131133;49328;1281
Luis Garro;473579;Club Cienciano;Sport Huancayo;876928;48078;406
Javier Núñez;325696;Carlos A. Mannucci;Sport Huancayo;805056;48078;406
Jhonier Viveros;213399;Jaguares de Córdoba;Sport Huancayo;830004;48283;11539
Jhonier Viveros;213399;Jaguares de Córdoba;Sport Huancayo;830004;52847;11536
Guti;175208;FC Telavi;Sport Huancayo;243515;48739;704
Kevin Ruiz;325591;Carlos A. Mannucci;Universidad Técnica de Cajamarca;875662;48078;406
Ángel Romero;170616;Deportivo Binacional;Universidad Técnica de Cajamarca;176289;48078;406
Jimmy Pérez;857805;Sport Huancayo;Universidad Técnica de Cajamarca;1107889;48078;406
Tiago Cantoro;738777;Universitario de Deportes;Universidad Técnica de Cajamarca;1015696;48078;406
Diego Mondino;279793;CA Agropecuario;Universidad Técnica de Cajamarca;898755;48079;703
Ángel Ojeda;149771;Club Cienciano;Universidad Técnica de Cajamarca;339841;48078;406
Victor Perlaza;670060;Asociación Deportiva Tarma;Universidad Técnica de Cajamarca;1090706;48078;406
Koichi Aparicio;250915;Club Cienciano;Universidad Técnica de Cajamarca;358194;48078;406
Carlos Fernández;1089724;Sin equipo;Universidad Técnica de Cajamarca;1464523;48078;406
Erick Canales;741413;Universidad Técnica de Cajamarca;Deportivo Garcilaso;1018233;48078;406
Erick Perleche;653484;Carlos A. Mannucci;Deportivo Garcilaso;975241;48078;406
Anthony Gordillo;332776;Cusco FC;Deportivo Garcilaso;760636;48078;406
Luis Caicedo;242991;CD Atlético Huila;Deportivo Garcilaso;339963;52847;11536
Renny Simisterra;412899;Libertad FC;Deportivo Garcilaso;1131289;48720;240
Gaspar Gentile;537255;Universidad Técnica de Cajamarca;Deportivo Garcilaso;895364;48078;406
Carlos Beltrán;214719;Club Cienciano;Deportivo Garcilaso;220929;48078;406
Carlo Diez;351561;Universidad Técnica de Cajamarca;Deportivo Garcilaso;831183;48078;406
Pablo Erustes;1095971;Deportivo Municipal;Deportivo Garcilaso;1466382;48078;406
Erick Gonzales;671879;Carlos A. Mannucci;Deportivo Garcilaso;1049088;48078;406
Miguel Vargas;352338;Club Cienciano;Deportivo Garcilaso;805115;48078;406
Diego Ramírez;325706;Academia Deportiva Cantolao;Deportivo Garcilaso;883389;48078;406
Adrián Ugarriza;325726;Club Sporting Cristal;Deportivo Garcilaso;846366;48078;406
Mauricio Cuero;211395;Sin equipo;Deportivo Garcilaso;249081;47647;155
Miguel Cornejo;654297;Sin equipo;Deportivo Garcilaso;973563;48078;406
Eric Tovo;697418;Club Deportivo Riestra;Alianza Atlético Sullana;992958;48079;703
Rotceh Aguilar;657221;Deportivo Municipal;Alianza Atlético Sullana;975853;48078;406
Christian Vásquez;639467;Sport Boys Association;Alianza Atlético Sullana;924881;48078;406
Francisco Duclós;352344;Academia Deportiva Cantolao;Alianza Atlético Sullana;876926;48078;406
Christian Flores;867036;Deportivo Municipal;Alianza Atlético Sullana;1107871;48078;406
Rodrigo Castro;238661;CA Gimnasia y Esgrima (Mendoza);Alianza Atlético Sullana;341981;48079;703
Horacio Benincasa;260318;Cusco FC;Alianza Atlético Sullana;338883;48078;406
Alessandro Milesi;547021;Club Atlético Grau;Alianza Atlético Sullana;949793;48078;406
Hideyoshi Arakaki;420864;Cusco FC;Alianza Atlético Sullana;879629;48078;406
Nicolás Albarracín;170785;Montevideo Wanderers;Carlos A. Mannucci;309126;48634;278
José Cortés;679264;FK Borac Banja Luka;Carlos A. Mannucci;886763;52702;222
Paolo Hurtado;84318;Club Cienciano;Carlos A. Mannucci;107315;48078;406
Juniors Barbieri;456161;Deportivo Garcilaso;Carlos A. Mannucci;846706;48078;406
Ángel Benítez;353041;CSD Defensa y Justicia;Carlos A. Mannucci;589292;47647;155
Nelinho Quina;82584;Cusco FC;Carlos A. Mannucci;883313;48078;406
Gonzalo Rizzo;409092;Asociación Deportiva Tarma;Carlos A. Mannucci;926640;48078;406
Christian Velarde;447932;Asociación Deportiva Tarma;Carlos A. Mannucci;883720;48078;406
Willyan Mimbela;160906;Asociación Deportiva Tarma;Carlos A. Mannucci;339529;48078;406
Percy Liza;665113;Club Sporting Cristal;Carlos A. Mannucci;975919;42655;238
Percy Liza;665113;Club Sporting Cristal;Carlos A. Mannucci;975919;48078;406
Jhonny Vidales;224677;Cusco FC;Carlos A. Mannucci;588144;48078;406
Pablo Míguez;76717;Club Alianza Lima;Carlos A. Mannucci;249305;48078;406
Emilio Saba;805862;FBC Melgar;Carlos A. Mannucci;1017755;48078;406
Alexander Succar;284162;Universitario de Deportes;Carlos A. Mannucci;790029;48078;406
Luis Trujillo;84349;Universidad Técnica de Cajamarca;CD Unión Comercio;47413;48078;406
Ignacio Barrios;291339;Asociación Deportiva Tarma;CD Unión Comercio;924765;48078;406
Héctor Zeta;279061;Deportivo Binacional;CD Unión Comercio;924793;48078;406
Piero Serra;639764;Alianza Atlético Sullana;CD Unión Comercio;965761;48078;406
Carlos Ramírez;77306;Deportivo Pereira;CD Unión Comercio;1130277;48283;11539
Carlos Ramírez;77306;Deportivo Pereira;CD Unión Comercio;1130277;52847;11536
Carlos Uribe;249977;Cusco FC;CD Unión Comercio;883294;48078;406
Teodoro Paredes;262254;Cumbayá FC;CD Unión Comercio;312346;48720;240
Donald Millán;73705;Deportivo Binacional;CD Unión Comercio;249599;48078;406
Roberto Villamarín;447934;Deportivo Binacional;CD Unión Comercio;882837;48078;406
Byron Angulo;988946;CD Universidad Católica;CD Unión Comercio;1185457;48720;240
Joel López Pissano;565193;Club Atlético Grau;Sport Boys Association;925119;48078;406
Neil Marcos;224683;Club Juan Aurich;Universidad Técnica de Cajamarca;1022066;48078;406
Ítalo Regalado;275266;CD Unión Comercio;Comerciantes Unidos;339171;48078;406
