nombre_jugador;tm_id;club_origen;club_destino;ss_id;ss_season_id;ss_tournament_id
Nicolás Olivera;343593;Cusco FC;Carlos A. Mannucci;896749;36546;278
Junior Morales;454926;Universidad Técnica de Cajamarca;Carlos A. Mannucci;846374;35813;406
Diego Chávez;304322;Deportivo Toluca FC;Carlos A. Mannucci;777269;37238;11621
Luis Haquín;481192;Club Puebla;Carlos A. Mannucci;876304;36048;11653
Carlos Neyra;368844;Deportivo Municipal;Carlos A. Mannucci;924924;35813;406
Mathías Llontop;662705;Universidad San Martín de Porres;Carlos A. Mannucci;989259;35813;406
João Ortiz;180911;Deportes Melipilla;Carlos A. Mannucci;789965;36048;11653
José Rivera;458461;Cusco FC;Carlos A. Mannucci;1020999;35813;406
John Narváez;140931;Deportes Tolima;Carlos A. Mannucci;107596;35235;11539
John Narváez;140931;Deportes Tolima;Carlos A. Mannucci;107596;37473;11536
Luis Carranza;483713;Ayacucho FC;Carlos A. Mannucci;882860;35813;406
José Inga;621023;Club Sporting Cristal;Carlos A. Mannucci;975924;35813;406
Alexander Lecaros;400254;Sin equipo;Carlos A. Mannucci;846749;27591;325
Oshiro Takeuchi;357124;Club Cienciano;FC Carlos Stein;805366;35813;406
Gabriel Leyes;178104;Academia Deportiva Cantolao;FC Carlos Stein;340349;35813;406
José Lozada;285561;Academia Deportiva Cantolao;FC Carlos Stein;873698;35813;406
Julio Landauri;82577;Alianza Universidad;FC Carlos Stein;38024;35813;406
Jorge Molina;94447;Club Cienciano;FC Carlos Stein;960216;35813;406
Eduardo Rabanal;390609;Carlos A. Mannucci;FC Carlos Stein;868711;35813;406
Óscar Vílchez;123418;Alianza Universidad;FC Carlos Stein;107388;35813;406
Damián Ísmodes;63451;Alianza Universidad;FC Carlos Stein;26176;35813;406
Luis Valverde;686154;Universitario de Deportes;FC Carlos Stein;973658;35813;406
Víctor Salas;484949;Academia Deportiva Cantolao;FC Carlos Stein;883734;35813;406
John Fajardo;82570;Deportivo Binacional;FC Carlos Stein;924643;35813;406
Felipe Mesones;653689;Deportivo Binacional;FC Carlos Stein;973635;35813;406
Michel Rasmussen;621031;FBC Melgar;FC Carlos Stein;944073;35813;406
Paolo Fuentes;375178;Sport Boys Association;Club Cienciano;805270;35813;406
Carlos Beltrán;214719;Ayacucho FC;Club Cienciano;220929;35813;406
Ángel Romero;170616;Deportivo Binacional;Club Cienciano;176289;35813;406
Josué Estrada;260324;Universidad Técnica de Cajamarca;Club Cienciano;339163;35813;406
Patrick Zubczuk;342051;Universitario de Deportes;Club Cienciano;846373;35813;406
Luciano Recalde;442677;CA Platense;Club Cienciano;896879;35486;13475
Luciano Recalde;442677;CA Platense;Club Cienciano;896879;37231;155
José Soto;662696;Universitario de Deportes;Club Cienciano;1107893;35813;406
Alexis Cossio;292729;Deportivo Municipal;Club Cienciano;384658;35813;406
Facundo Curuchet;149527;CA Platense;Club Cienciano;249875;35486;13475
Facundo Curuchet;149527;CA Platense;Club Cienciano;249875;37231;155
Janio Pósito;94761;Cusco FC;Deportivo Binacional;883299;35813;406
Jair Céspedes;72971;Cusco FC;Deportivo Binacional;26172;35813;406
Víctor Cedrón;178893;Cusco FC;Deportivo Binacional;590310;35813;406
Edson Aubert;106283;Cusco FC;Deportivo Binacional;220935;35813;406
Yonatan Murillo;242546;Boyacá Patriotas FC;Deportivo Binacional;1100345;35235;11539
Yonatan Murillo;242546;Boyacá Patriotas FC;Deportivo Binacional;1100345;37473;11536
Yimy Gamero;832217;FBC Melgar;Deportivo Binacional;1086281;35813;406
Diego Enríquez;662693;Club Sporting Cristal;Deportivo Binacional;978557;35813;406
Leonel Solís;434955;Academia Deportiva Cantolao;Deportivo Municipal;883293;35813;406
Renato Espinosa;483715;Alianza Universidad;Deportivo Municipal;883812;35813;406
Kevin Moreno;486264;Carlos A. Mannucci;Deportivo Municipal;883339;35813;406
Matías Pérez García;67439;Club de Gimnasia y Esgrima La Plata;Deportivo Municipal;974451;37231;155
Emiliano Ciucci;56004;Universidad César Vallejo;Deportivo Municipal;590448;35813;406
Mariano Vázquez;421396;Fortaleza Esporte Clube;FBC Melgar;829887;27591;325
Leonel Galeano;124244;Curicó Unido;FBC Melgar;122618;36048;11653
Jean Pierre Archimbaud;250437;Deportivo Municipal;FBC Melgar;589448;35813;406
Martín Pérez Guedes;207246;Universidad San Martín de Porres;FBC Melgar;249403;35813;406
Nicolás Figueroa;662708;Universidad San Martín de Porres;FBC Melgar;988299;35813;406
Alexis Blanco;96309;Universidad Técnica de Cajamarca;Sport Boys Association;897009;35813;406
Jesús Barco;494597;Carlos A. Mannucci;Sport Boys Association;922869;35813;406
Luis Garro;473579;Universidad San Martín de Porres;Sport Boys Association;876928;35813;406
Cristian Florez;288320;Deportivo Pereira;Sport Boys Association;602184;35235;11539
Cristian Florez;288320;Deportivo Pereira;Sport Boys Association;602184;37473;11536
Diego Saffadi;475116;Alianza Atlético Sullana;Sport Boys Association;883142;35813;406
Rodrigo Cuba;224670;Universidad César Vallejo;Sport Boys Association;339177;35813;406
Mario Palomino;375364;Deportivo Binacional;Sport Boys Association;805259;35813;406
Piero Vivanco;628328;Club Alianza Lima;Sport Boys Association;932088;35813;406
Mauro Guevgeozián;120964;Carlos A. Mannucci;Sport Boys Association;578352;35813;406
Ángel Pérez;260094;Deportivo Binacional;Sport Huancayo;873704;35813;406
Juan Barreda;249967;Alianza Atlético Sullana;Sport Huancayo;925232;35813;406
Victor Perlaza;670060;Alianza Atlético Sullana;Sport Huancayo;1090706;35813;406
Diego Manicero;54594;Alianza Universidad;Sport Huancayo;790020;35813;406
Anthony Rosell;356381;Deportivo Binacional;Sport Huancayo;873703;35813;406
Fernando Pacheco;451338;Fluminense Football Club;Club Sporting Cristal;874987;36166;325
Yoshimar Yotún;94880;CD Cruz Azul;Club Sporting Cristal;46988;35117;11620
Yoshimar Yotún;94880;CD Cruz Azul;Club Sporting Cristal;46988;37238;11621
Leandro Sosa;248094;Ayacucho FC;Club Sporting Cristal;828836;35813;406
Osnar Noronha;127459;Carlos A. Mannucci;Universidad César Vallejo;169935;35813;406
Carlos Ascues;189283;FBC Melgar;Universidad César Vallejo;220921;35813;406
Patricio Arce;334104;Academia Deportiva Cantolao;Universidad César Vallejo;805267;35813;406
Orlando Núñez;741727;Academia Deportiva Cantolao;Universidad César Vallejo;1018255;35813;406
Benjamín Ampuero;789198;Sport Boys Association;Universidad César Vallejo;1017747;35813;406
Carlos Cabello;477378;Club Sporting Cristal;Universidad César Vallejo;883396;35813;406
Marcos Delgado;94735;Ayacucho FC;Universidad San Martín de Porres;311734;35813;406
Alexis Rojas;398023;Sport Huancayo;Universidad San Martín de Porres;836280;35813;406
Joseph Vega;664863;Academia Deportiva Cantolao;Universidad San Martín de Porres;957298;35813;406
Josué Rodríguez;195892;Deportivo Binacional;Universidad San Martín de Porres;147517;35813;406
Yhirbis Córdova;195858;Deportivo Binacional;Universidad San Martín de Porres;826377;35813;406
Alejandro González;100497;Club Sporting Cristal;Universidad San Martín de Porres;46980;35813;406
Edhu Oliva;516242;Club Alianza Lima;Universidad San Martín de Porres;914294;35813;406
Axel Moyano;665116;Club Alianza Lima;Universidad San Martín de Porres;978545;35813;406
Facundo Peraza;227774;CA Rentistas;Universidad Técnica de Cajamarca;869717;35576;384
Erick Canales;741413;Club Alianza Lima;Universidad Técnica de Cajamarca;1018233;35813;406
Werner Schuler;149622;Universitario de Deportes;Universidad Técnica de Cajamarca;176285;35813;406
Pedro Ynamine;480521;Universidad San Martín de Porres;Universidad Técnica de Cajamarca;883750;35813;406
Emilio Saba;805862;FBC Melgar;Universidad Técnica de Cajamarca;1017755;35813;406
Donald Millán;73705;Universidad César Vallejo;Universidad Técnica de Cajamarca;249599;35813;406
Jhon Marchán;425260;Club Sporting Cristal;Universidad Técnica de Cajamarca;1016015;35813;406
Hideyoshi Arakaki;420864;Deportivo Municipal;Universidad Técnica de Cajamarca;879629;35813;406
Leonardo Mifflin;491569;FBC Melgar;Universidad Técnica de Cajamarca;936165;35813;406
Andy Polo;189236;Portland Timbers;Universitario de Deportes;176159;35964;242
Alfonso Barco;671538;Universidad San Martín de Porres;Universitario de Deportes;975958;35813;406
